Beer,Type,ABV,Manufacturers,Food,Taste,Price,Volume,Untappd_rating
Mango Mango Mango,Sour - Fruited,"4,5",Dugges Bryggeri,Aperitif,"Very fruity, sour taste with a clear character of mango, hints of grapefruit, jasmine flowers, biscuits and lemon.",32kr,330ml,"3,82/5"
Blåbärliner,Berliner Weisse,"3,6",Ängöl Bryggeri,Aperitif,"Berry, very sour taste with hints of blueberries, cherries, light bread and lingonberries.","23,9kr",330ml,"2,92/5"
Sour Fruit Ale,Sour - Fruited,"4,5",Poppels Bryggeri,Aperitif,"Fruity, slightly sour taste with hints of strawberries, raspberries and butter caramel.","26,9kr",330ml,"3,61/5"
Aurora,Sour - Fruited,7,Brekeriet,Aperitif,"Berry, sour taste with hints of cask, black currants, cherries, malt vinegar, blood orange and vanilla.",87kr,750ml,"3,73/5"
Havnesæson,Farmhouse Ale - Saison,7,Mikkeller Baghaven,"Pork, Bird, Fish","Nuanced, sour taste with hints of cask, yellow apples, light bread, spices, balsamic vinegar, honey and lemon.","243,9kr",750ml,"4,05/5"
Darkwing,Gose,6,Duckpond Brewing,Aperitif,"Berry, very sour taste with hints of black currant and vanilla.","39,9kr",330ml,"4,07/5"
Berry Licorice,Sour - Fruited,"4,5",Fermenterarna,Aperitif,"Berry, sour taste with hints of forest berries, black currants and licorice.","36,9kr",330ml,"3,72/5"
Pleroma,Sour - Fruited,6,Omnipollo,Aperitif,"Fruity, sour taste with hints of kiwi, light bread, caramel, herbs and green apples.","44,9kr",330ml,"3,99/5"
Atomic Dog,Sour - Fruited,5,To Øl ,Aperitif,"Berry, slightly sour taste with hints of grape juice, blueberries, herbs and light bread.","44,9kr",440ml,"3,8/5"
Sour & Salt,Gose,"4,6",Brekeriet,"Fish, Shellfish","Fruity, sour taste with saltiness, hints of lemon and coriander.","29,9kr",330ml,"3,59/5"
Lusse Lelle,Sour,"6,4",Brekeriet,Aperitif,"Spicy, very sour taste with a clear character of saffron, hints of orange and light bread.","32,9kr",330ml,"3,29/5"
Kriek Vanilje Blend 2,Wild Ale,"7,6",Mikkeller Baghaven,Aperitif,"Fruity, very sour taste with hints of cask, cherry, almond, vanilla, blood orange and spices.",199kr,750ml,"4,11/5"
Raspberry Dry Hop Sour,Sour,"5,6",Collective Arts Brewing,Aperitif,"Berry, sour taste with hints of raspberries, blood grapefruit and light bread.","29,9kr",355ml,"3,81/5"
The Big Mjau Theory,Sour - Fruited,6,Fermenterarna,Aperitif,"Berry, sour taste with a little sweetness, hints of blueberries, strawberries, raspberry vinegar and passion fruit.","49,9kr",440ml,"3,95/5"
A passion for Gingers,Berliner Weisse,"3,8",Beerbliotek,Aperitif,"Fruity, sour taste with hints of passion fruit, lemon and ginger.","29,9kr",330ml,"3,42/5"
Bel Air Sour,Sour,"4,5",Brooklyn Brewery,"Fish, Shellfish","Slightly hop-aromatic, sour taste with hints of green apples, herbs, lemon and grapefruit.","23,9kr",355ml,"3,25/5"
Flamingo Juice,Gose,5,Stigbergets Bryggeri,Aperitif,"Very fruity, slightly sour taste with a little saltiness and clear character of mango, hints of spices.","37,9kr",330ml,"3,51/5"
Salty Surprise,Gose,"4,7",Cervisiam,Aperitif,"Fruity, sour taste with a little saltiness, hints of passion fruit, light bread, peach and coriander.","42,9kr",330ml,"3,61/5"
Fifty Fifty,Berliner Weisse,6,Dugges Bryggeri,Aperitif,"Fruity, sour taste with hints of raspberry, licorice, biscuits and blood orange.",35kr,330ml,"3,61/5"
Salted Licorice Raspberry Sour,Sour,5,CoolHead Brew,Aperitif,"Berry, very sour taste with a little saltiness, hints of raspberries, licorice and rhubarb.","45,5kr",330ml,"3,68/5"
Margarita Gose,Gose,"4,2",Cigar City Brewing,"Fish, Shellfish","Fruity, very sour taste with a little saltiness, hints of lime, orange and light bread.","24,9kr",355ml,"3,54/5"
Bianca,Gose,6,Omnipollo,Aperitif,"Very fruity, sour taste with sweetness and a little saltiness, hints of guava, peach, passion fruit, lychee, mango and orange.","109,9kr",500ml,"4,01/5"
Ruby Gems,Sour,"4,7",Brekeriet,Aperitif,"Berry aroma with hints of blood grapefruit, strawberries, black currants and light bread.","34,9kr",330ml,"3,53/5"
Miss Maplelicious,Gose,6,Fermenterarna,Aperitif,"Berry, sour taste with hints of black currant, forest raspberry, citrus peel, violet and light bread.","42,9kr",330ml,"3,94/5"
Rabarber Sur,Berliner Weisse,"4,7",S:t Eriks Bryggeri,Aperitif,"Fruity, sour taste with hints of grapefruit, light bread and rhubarb.","22,9kr",330ml,"3,42/5"
Biere de Saision Mosaic,Farmhouse Ale - Saison,"5,3",The Kernel,"Fish, Shellfish","Fruity, sour taste with hints of cask, orange, pineapple, pine resin and malt vinegar.","48,6kr",330ml,"3,61/5"
Grand Cru,Sour - Red Ale,6,Brouwerij Rodenbach,"Pork, Bird","Nuanced, characterful, sour taste with a little sweetness, hints of cask, dried apricots, dark bread, malt vinegar, crackers and orange.","29,9kr",330ml,"3,7/5"
Enough To Make A Mango Sour,Berliner Weisse,"5,5",Cervisiam,Aperitif,"Fruity, very sour taste with hints of mango, light bread and orange.","44,5kr",330ml,"3,71/5"
Avalon,Sour,"7,6",Lindheim Ølkompani,Aperitif,"Nuanced, fruity, sour taste with hints of cask, plum, light bread, straw, vanilla, almonds, spices and citrus peel.","94,9kr",375ml,"4,04/5"
